,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
2/1/1949 0:00,165.8,85.69,106.74,246.01,101.91,81.04,338.21,151.76,109.49,154.0722222
3/1/1949 0:00,77.13,45.46,70.66,92.55,43.84,56.51,83.72,59.8,46.78,64.05
4/1/1949 0:00,96.06,111.75,136.41,66.01,82.94,100.61,18.98,67.44,70.13,83.37
5/1/1949 0:00,25.96,8.71,9.91,29.69,7.9,7.38,30.36,12.69,8.63,15.69222222
6/1/1949 0:00,2.03,1.36,0.68,3.45,0.65,0.34,2.38,1.32,0.4,1.401111111
7/1/1949 0:00,1.06,0,0.03,1.47,0.55,0.01,0.44,0.52,0.03,0.456666667
8/1/1949 0:00,1.93,0.71,0.69,1.97,1.08,0,0.51,1.07,1.25,1.023333333
9/1/1949 0:00,14.58,5.4,0.12,13.82,5.1,1.07,3.39,2.14,2.66,5.364444444
10/1/1949 0:00,180.63,168.74,78.84,158.36,175.62,83.64,141.49,223.46,172.36,153.6822222
11/1/1949 0:00,245.08,288.06,188.65,223.79,290.73,214.11,217.29,218.99,175.96,229.1844444
12/1/1949 0:00,90.36,24.13,45.68,122.49,57.12,61.48,132.32,109.2,73.71,79.61
1/1/1950 0:00,185.8,110.33,74.45,237.29,128.08,75.36,279.41,112.83,84.22,143.0855556
2/1/1950 0:00,152.61,148.05,137.59,151.38,178.88,157.29,133.65,195.53,176.16,159.0155556
3/1/1950 0:00,139.16,142.17,128.13,158.81,146.36,98.13,244.74,180.15,150.1,154.1944444
4/1/1950 0:00,236.78,260.9,204.88,199.5,210.13,192.42,125.69,163.96,147.3,193.5066667
5/1/1950 0:00,16.86,6.07,0.84,15.3,4.77,2.18,7.89,4.17,3.53,6.845555556
6/1/1950 0:00,2.03,1.37,0.68,3.45,0.65,0.34,2.37,1.33,0.4,1.402222222
7/1/1950 0:00,1.06,0,0.03,1.48,0.55,0.01,0.44,0.52,0.03,0.457777778
8/1/1950 0:00,1.93,0.71,0.69,1.97,1.08,0,0.51,1.07,1.25,1.023333333
9/1/1950 0:00,34.16,12.92,0.99,35.7,16.18,5.96,20.03,15.33,15.51,17.42
10/1/1950 0:00,136.29,98.1,63.52,129.69,89.48,47.77,110.12,131.39,87.48,99.31555556
11/1/1950 0:00,167.78,143.54,151.37,213.45,180.73,182.17,245.26,244.17,178.09,189.6177778
12/1/1950 0:00,148.37,118.01,131.09,158.41,122.62,120.55,172.01,132.48,110.63,134.9077778
1/1/1951 0:00,209.89,142.74,67.71,226.62,106.04,36.07,206.49,114.1,68.73,130.9322222
2/1/1951 0:00,113.73,109.35,107.53,125.34,105.33,90.51,143.29,81.5,76.07,105.85
3/1/1951 0:00,243.23,154.29,149.34,294.61,199.65,150.62,271.92,245.15,151.29,206.6777778
4/1/1951 0:00,169.96,149.68,143.65,163.77,120.8,120.09,99.26,114.56,132.32,134.8988889
5/1/1951 0:00,29.26,32.06,44.05,25.23,23.44,43.53,34.12,38.29,25.8,32.86444444
6/1/1951 0:00,2.54,1.52,1.27,4.07,0.66,1.04,2.45,1.32,0.4,1.696666667
7/1/1951 0:00,7.99,12.82,2.05,3.32,7.23,4.1,0.45,0.5,0.33,4.31
8/1/1951 0:00,1.93,0.72,0.69,1.98,1.08,0,0.5,1.06,1.25,1.023333333
9/1/1951 0:00,14.95,5.58,0.12,13.87,5.53,1.16,3.39,2.89,2.85,5.593333333
10/1/1951 0:00,86.32,62.03,21.32,93.56,72.93,28.64,107.59,35.65,21.98,58.89111111
11/1/1951 0:00,34.08,15.65,9.73,69.45,42.97,20.96,104.71,33.43,13.66,38.29333333
12/1/1951 0:00,252.51,228.32,179.58,275.26,223.98,175.67,339.16,297.8,232.12,244.9333333
1/1/1952 0:00,129.66,60.44,44.88,194.11,66.7,26.21,291.11,138.77,59.09,112.33
